0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
3.451,3.478,2.028,6.049,1.224,7.893,18.380,2.362,16.870,2.517,13.314,2.663,10.432,1.963,6.830,1.954,2.083,6.831,5.284,2.471,4.957,0.340,3.483,1.648,3.407,0.472,2.772,2.211,3.070,3.403,2.589,2.601,2.372,1.813,9.511,0.509,2.272,5.636,2.284,0.536,3.848,3.171,1.407,2.620,0.425,,,,,,,,,,,,,,
8.075,3.854,5.001,2.356,3.036,4.068,5.810,2.115,1.988,6.693,2.225,2.472,1.588,2.033,2.917,4.694,2.592,2.400,11.131,1.574,2.266,3.368,3.963,18.951,1.946,8.028,3.746,3.595,3.391,15.690,7.215,3.061,2.044,1.406,2.172,2.056,6.218,1.759,10.229,1.469,2.051,3.504,2.262,3.010,0.722,,,,,,,,,,,,,,
4.783,6.725,3.770,1.689,2.155,1.852,2.895,6.406,0.349,6.583,2.986,4.316,1.294,6.650,3.694,6.289,5.859,0.933,5.468,2.902,2.531,1.348,3.945,17.036,1.984,2.768,7.254,2.973,1.285,3.920,7.818,7.030,1.986,0.387,4.112,3.360,2.681,2.133,1.687,6.658,0.589,2.937,0.873,1.909,,,,,,,,,,,,,,,
3.037,6.390,17.579,8.794,10.956,8.187,2.169,10.622,7.426,10.735,0.783,1.260,6.437,4.474,1.886,20.268,5.306,11.871,1.335,14.919,8.388,4.335,0.694,7.022,0.651,15.690,0.846,2.326,3.339,3.394,8.555,1.589,2.619,3.689,2.659,2.032,1.015,1.364,1.738,4.067,0.564,2.816,5.051,2.005,1.325,0.804,0.606,0.361,,,,,,,,,,,
3.257,1.962,2.304,5.841,9.578,3.736,0.378,2.606,2.589,19.074,1.729,3.874,2.797,1.365,2.739,3.608,3.049,3.375,3.784,5.276,2.338,4.864,1.987,6.333,1.135,0.997,13.819,23.881,6.298,3.136,1.167,2.697,3.155,3.536,2.580,5.212,1.477,1.959,1.545,7.275,0.470,2.588,0.692,2.007,0.832,3.758,2.612,2.033,0.537,,,,,,,,,,
2.595,5.743,10.440,4.443,1.187,2.961,5.915,8.676,3.047,2.955,4.901,2.638,6.028,5.727,1.877,7.911,1.308,13.909,1.124,3.055,4.501,2.895,3.438,7.596,5.926,2.786,2.912,2.739,1.203,4.808,1.958,3.271,2.792,1.636,1.635,3.420,2.580,1.672,2.412,9.131,4.866,0.815,3.548,3.093,2.280,2.406,0.480,,,,,,,,,,,,
3.610,8.378,2.322,2.731,2.210,3.744,1.581,13.719,12.330,1.629,2.227,9.468,5.145,10.444,13.470,2.473,2.770,1.579,1.522,33.431,1.499,0.644,2.027,1.633,6.655,2.893,3.042,4.397,16.367,7.944,7.086,2.547,6.947,3.556,0.323,2.623,0.446,0.352,6.792,1.270,3.581,1.059,2.875,0.575,,,,,,,,,,,,,,,
7.824,4.733,6.163,1.715,28.824,11.102,14.762,4.679,2.773,2.147,3.501,12.968,1.006,12.757,11.914,2.437,2.880,7.510,9.869,4.789,2.694,2.397,1.467,5.313,3.412,6.417,1.291,1.519,1.477,7.403,6.358,1.627,1.719,3.468,2.083,2.562,3.428,2.367,2.269,4.826,3.063,4.373,1.697,1.542,0.510,,,,,,,,,,,,,,
1.681,5.837,2.719,3.031,2.501,6.181,1.636,3.683,1.407,3.026,0.841,4.240,1.682,1.999,4.314,3.115,0.638,3.640,5.372,2.399,10.706,2.265,3.535,1.674,3.968,3.658,4.156,1.530,8.366,2.745,1.103,5.383,4.345,2.377,3.234,1.309,1.399,1.048,4.257,3.877,3.737,2.575,4.904,2.505,0.637,,,,,,,,,,,,,,
6.021,4.999,1.633,4.702,3.289,11.867,2.396,5.175,5.219,3.172,7.796,9.022,7.503,0.595,7.223,0.641,16.491,1.231,12.987,15.190,1.379,4.962,1.319,2.124,1.431,0.678,2.981,7.618,6.795,2.995,1.521,8.857,4.315,0.770,3.206,2.167,3.779,0.505,4.302,3.271,1.356,1.497,2.109,4.489,1.825,1.757,2.387,0.595,,,,,,,,,,,
