date,doks_order,times
24-Mar-23,"[44, 63, 19, 51, 32, 12, 68, 79, 4, 66, 71, 70, 69, 60, 64, 72, 55, 45, 27, 43, 52, 35, 7, 6, 24, 17, 8, 11, 13, 2, 20, 47, 38, 39, 49, 50, 31, 21, 22, 75, 57, 59, 77]","[8.014, 13.919, 8.189, 18.897, 6.13, 2.808, 12.605, 3.973, 10.04, 26.719, 5.285, 2.128, 3.327, 1.182, 5.346, 2.255, 3.714, 7.459, 0.706, 2.638, 2.381, 3.49, 2.025, 3.499, 3.245, 2.659, 0.626, 9.246, 1.791, 8.262, 2.097, 4.48, 1.702, 2.51, 3.45, 2.401, 2.342, 1.379, 0.861, 4.987, 2.611, 1.479, 1.335]"
27-Mar-23,"[58, 41, 41, 8, 16, 25, 6, 11, 3, 45, 55, 69, 42, 21, 13, 19, 18, 23, 14, 14, 74, 37, 28, 48, 30, 41, 43, 38, 47, 34, 53, 35, 52, 70, 80, 78, 60, 72, 9, 10, 54, 56, 67, 68, 77, 76]","[14.613, 6.627, 1.793, 7.1, 3.392, 13.015, 1.175, 3.255, 3.688, 29.009, 2.129, 3.006, 1.96, 14.095, 8.108, 3.539, 7.355, 1.419, 0.709, 3.589, 9.591, 2.486, 3.655, 4.359, 3.889, 7.517, 4.75, 3.049, 2.683, 2.751, 3.293, 5.355, 1.484, 5.072, 2.523, 2.423, 1.435, 2.869, 4.297, 2.395, 4.007, 2.084, 6.486, 0.352, 2.261, 0.461]"
29-Mar-23,"[49, 29, 73, 69, 8, 6, 4, 63, 58, 30, 48, 27, 45, 54, 37, 38, 47, 35, 77, 12, 22, 24, 16, 34, 32, 42, 41, 50, 52, 53, 80, 70, 67, 79, 55, 56, 19, 10, 20, 11, 57, 75, 76]","[8.086, 2.274, 2.176, 16.112, 16.027, 3.413, 0.754, 9.488, 34.309, 11.375, 3.465, 3.774, 6.919, 0.548, 18.68, 3.226, 1.527, 4.171, 22.199, 2.429, 1.69, 1.212, 1.107, 7.728, 2.306, 4.2, 2.86, 1.534, 2.957, 1.159, 2.747, 7.071, 1.233, 2.734, 2.419, 2.136, 1.634, 2.802, 4.102, 1.074, 9.831, 1.321, 0.493]"
2-Apr-23,"[73, 46, 43, 78, 69, 62, 71, 80, 58, 30, 33, 32, 28, 37, 40, 19, 12, 20, 11, 9, 65, 54, 63, 74, 67, 66, 75, 59, 57, 14, 49, 50, 4, 5, 3, 7, 16, 24, 25, 26, 52, 53, 51]","[9.537, 16.668, 8, 2.661, 3.897, 7.915, 1.967, 0.555, 5.116, 12.102, 5.157, 4.896, 1.474, 1.345, 3.464, 27.986, 2.277, 2.401, 3.688, 1.388, 3.487, 2.721, 1.769, 3.533, 2.515, 4.495, 2.197, 2.696, 2.703, 4.275, 2.193, 3.077, 2.688, 1.696, 3.988, 4.57, 2.839, 3.804, 2.13, 0.454, 3.258, 1.911, 0.7]"
3-Apr-23,"[35, 50, 49, 77, 46, 1, 37, 11, 62, 65, 75, 38, 47, 29, 34, 14, 67, 68, 21, 22, 23, 3, 25, 8, 17, 16, 9, 0, 18, 55, 64, 54, 72, 61, 69, 60, 78, 79, 44, 42, 31, 48, 30]","[6.192, 1.895, 3.413, 8.135, 5.836, 3.675, 2.207, 9.612, 3.933, 4.386, 0.973, 19.13, 12.227, 0.799, 3.208, 10.764, 2.123, 1.634, 2.847, 4.793, 4.494, 0.887, 2.9, 14.088, 3.198, 0.835, 7.385, 2.305, 1.102, 3.483, 4.28, 5.469, 1.058, 1.611, 3.294, 1.471, 3.883, 0.839, 2.951, 2.199, 3.783, 2.151, 0.817]"
12-Apr-23,"[20, 55, 72, 64, 65, 74, 73, 45, 53, 4, 66, 47, 38, 50, 1, 9, 30, 44, 35, 36, 36, 27, 40, 67, 68, 59, 57, 49, 23, 48, 22, 12, 24, 16, 17, 80, 78, 79, 62, 60, 7, 6, 6, 33, 34]","[2.976, 3.673, 4.295, 4.626, 6.369, 2.268, 0.539, 4.709, 6.613, 5.665, 3.342, 7.082, 6.356, 7.638, 11.15, 1.836, 47.966, 1.86, 6.949, 1.881, 1.177, 2.796, 3.268, 21.163, 0.415, 4.137, 1.345, 1.666, 1.663, 1.782, 4.12, 2.208, 3.074, 9.71, 0.453, 6.797, 8.021, 0.438, 5.182, 3.042, 2.286, 3.114, 2.593, 1.753, 0.459]"
13-Apr-23,"[11, 20, 27, 16, 16, 7, 23, 5, 3, 9, 25, 16, 19, 10, 73, 55, 70, 68, 61, 53, 78, 49, 36, 35, 71, 44, 47, 42, 41, 50, 34, 33, 30, 29, 48, 45, 74, 60, 69, 77, 54, 63, 58, 66, 76]","[4.926, 3.567, 8.085, 10.374, 1.271, 3.473, 2.375, 3.198, 1.861, 10.545, 2.165, 0.625, 3.63, 3.584, 19.961, 0.701, 1.988, 3.959, 1.105, 2.713, 3.305, 3.412, 2.658, 1.513, 7.63, 0.879, 2.177, 4.085, 0.973, 11.18, 3.252, 1.453, 8.432, 0.96, 3.138, 2.365, 9.509, 0.92, 1.262, 3.012, 1.186, 0.798, 4.328, 2.04, 0.815]"
15-Apr-23,"[23, 11, 0, 1, 50, 46, 32, 5, 4, 45, 44, 51, 33, 17, 25, 16, 15, 60, 64, 73, 62, 80, 61, 79, 57, 27, 36, 63, 65, 47, 48, 22, 13, 21, 41, 30, 38, 29, 68, 76, 77, 67, 58]","[4.484, 1.869, 2.913, 0.326, 5.4, 5.298, 3.049, 8.938, 3.963, 6.573, 8.713, 4.916, 0.832, 5.768, 7.581, 4.335, 0.457, 3.463, 11.068, 0.386, 2.815, 2.269, 2.332, 2.104, 4.278, 15.524, 3.066, 1.437, 1.419, 13.432, 3.008, 3.23, 3.618, 0.834, 2.102, 2.944, 1.823, 0.539, 3.639, 3.536, 3.46, 2.259, 0.516]"
17-Apr-23,"[4, 56, 73, 65, 74, 59, 70, 62, 12, 52, 32, 48, 36, 45, 27, 29, 9, 30, 66, 3, 22, 23, 53, 40, 41, 50, 67, 76, 77, 58, 78, 79, 60, 8, 44, 43, 16, 19, 10, 1, 6, 15, 24]","[4.033, 4.366, 2.92, 4.874, 1.567, 2.773, 2.276, 8.907, 5.662, 16.384, 2.628, 9.073, 1.634, 5.979, 2.93, 0.669, 3.653, 17.679, 10.656, 2.635, 6.894, 0.518, 23.586, 5.567, 2.442, 0.9, 12.631, 8.549, 3.273, 4.001, 2.789, 1.962, 3.491, 4.605, 3.254, 2.628, 4.888, 3.298, 3.854, 1.125, 3.323, 2, 1.694]"
19-Apr-23,"[26, 28, 52, 59, 74, 43, 60, 51, 38, 54, 34, 35, 44, 46, 45, 29, 2, 10, 18, 7, 6, 15, 17, 3, 12, 41, 57, 61, 71, 73, 67, 68, 72, 63, 79, 78, 49, 50, 40, 39, 22, 21, 23]","[3.173, 7.619, 12.622, 15.664, 2.259, 11.232, 1.791, 19.758, 2.285, 6.14, 9.67, 3.995, 0.593, 6.787, 2.239, 2.745, 6.702, 1.554, 2.065, 3.302, 3.518, 2.087, 1.153, 8.782, 3.126, 12.195, 16.589, 1.814, 4.241, 2.708, 9.417, 0.896, 1.672, 1.215, 2.065, 4.786, 9.673, 0.504, 8.953, 0.524, 2.598, 2.975, 0.873]"
20-Apr-23,"[40, 28, 2, 25, 76, 61, 77, 55, 18, 9, 11, 56, 74, 73, 72, 45, 33, 35, 75, 49, 23, 46, 51, 30, 37, 39, 43, 34, 71, 67, 57, 3, 4, 5, 15, 17, 24, 26, 60, 62, 68, 59, 70]","[8.857, 1.942, 2.965, 5.888, 8.135, 2.788, 11.302, 3.929, 2.338, 4.61, 0.971, 32.323, 3.652, 5.448, 2.318, 3.788, 2.164, 73.248, 16.641, 1.732, 1.386, 7.075, 1.106, 1.775, 1.262, 4.176, 4.321, 2.631, 2.985, 4.998, 6.002, 9.609, 3.028, 2.38, 9.378, 0.955, 5.279, 0.838, 5.609, 6.755, 1.329, 1.203, 0.612]"
