0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
2.913,0.326,,,3.963,8.938,,,,,,1.869,,3.618,,0.457,4.335,5.768,,,,0.834,3.23,4.484,,7.581,,15.524,,0.539,2.944,,3.049,0.832,,,3.066,,1.823,,,2.102,,,8.713,6.573,5.298,13.432,3.008,,5.4,4.916,,,,,,4.278,0.516,,3.463,2.332,2.815,1.437,11.068,1.419,,2.259,3.639,,,,,0.386,,,3.536,3.46,,2.104,2.269
,1.125,,2.635,4.033,,3.323,,4.605,3.653,3.854,,5.662,,,2.0,4.888,,,3.298,,,6.894,0.518,1.694,,,2.93,,0.669,17.679,,2.628,,,,1.634,,,,5.567,2.442,,2.628,3.254,5.979,,,9.073,,0.9,,16.384,23.586,,,4.366,,4.001,2.773,3.491,,8.907,,,4.874,10.656,12.631,,,2.276,,,2.92,1.567,,8.549,3.273,2.789,1.962,
,,6.702,8.782,,,3.518,3.302,,,1.554,,3.126,,,2.087,,1.153,2.065,,,2.975,2.598,0.873,,,3.173,,7.619,2.745,,,,,9.67,3.995,,,2.285,0.524,8.953,12.195,,11.232,0.593,2.239,6.787,,,9.673,0.504,19.758,12.622,,6.14,,,16.589,,15.664,1.791,1.814,,1.215,,,,9.417,0.896,,,4.241,1.672,2.708,2.259,,,,4.786,2.065,
,,2.965,9.609,3.028,2.38,,,,4.61,,0.971,,,,9.378,,0.955,2.338,,,,,1.386,5.279,5.888,0.838,,1.942,,1.775,,,2.164,2.631,73.248,,1.262,,4.176,8.857,,,4.321,,3.788,7.075,,,1.732,,1.106,,,,3.929,32.323,6.002,,1.203,5.609,2.788,6.755,,,,,4.998,1.329,,0.612,2.985,2.318,5.448,3.652,16.641,8.135,11.302,,,
2.957,0.319,1.954,,,3.039,2.511,,,6.188,,,1.142,2.708,,1.898,,3.795,,1.897,,,2.93,4.751,,7.229,2.605,,6.485,3.504,,,2.426,,,2.758,,,9.4,,,4.205,4.468,2.241,2.456,,,1.386,2.867,,1.191,,,3.168,0.477,0.613,2.58,,1.709,,1.133,11.817,,1.894,28.025,,4.671,3.113,,,4.583,,,,,5.13,2.091,,4.37,1.675,
,0.999,,,5.368,,,1.663,2.672,,9.513,3.323,5.976,3.66,,,2.07,,,2.138,2.316,2.627,4.162,,,2.503,,0.843,,11.913,,,3.609,10.589,,5.765,5.075,,,,6.645,,,6.31,2.837,1.912,,3.182,13.692,2.728,6.57,0.565,,,7.108,2.895,,,,2.823,6.636,4.293,0.371,1.193,1.974,,3.283,4.831,,,,,1.529,,,0.397,,20.356,,,2.066
,,,6.327,0.48,,,,2.822,0.624,2.652,12.57,3.223,,,,,,5.017,,1.11,,,,,2.212,2.454,2.194,3.075,5.071,,,,2.325,3.735,,2.147,,,3.067,3.49,,,,3.54,,2.632,,2.298,5.873,,2.351,13.65,1.191,2.594,,1.445,,,1.173,0.627,4.506,3.867,3.892,3.711,2.797,3.001,,5.313,2.341,,,,,,,3.506,3.857,3.467,4.102,7.162
,1.677,4.61,,,,,1.746,15.002,,3.125,,,5.045,9.278,5.654,1.634,,,,3.279,12.117,5.65,0.658,3.681,,,5.43,,3.246,,4.327,2.27,,,,1.261,3.472,,4.641,,,,1.379,6.566,,,3.2,9.465,,,4.124,3.614,0.922,,2.918,7.232,,,,3.593,,2.604,5.953,,1.873,4.68,1.003,1.69,,,3.836,3.223,,,3.119,,,2.872,7.586,1.303
9.604999999999999,,,,4.387,8.636,2.358,6.602,,2.726,,,2.205,0.417,3.9,3.542,,,1.022,6.737,5.487,,,,1.522,,3.059,,0.514,2.805,,,8.15,7.314,3.115,,,1.585,,,,34.422,2.062,0.434,12.842,,,3.228,1.956,2.606,,,,,,6.42,1.414,0.531,,4.776,,,2.357,,4.229,,5.543,,2.328,1.669,,2.009,2.57,3.874,3.142,,1.205,,,17.455,
,,,0.509,,2.272,,10.432,,,,,9.511,,3.451,2.284,5.636,0.536,2.372,1.813,6.83,,1.963,16.87,,,,,,,2.663,2.471,,1.648,,6.831,,3.483,3.478,,,7.893,,3.407,0.472,5.284,2.083,13.314,12.23,0.34,,,,,2.028,2.601,,,,,3.848,,2.362,,,,2.517,0.425,2.62,3.171,1.407,2.211,2.589,3.07,1.954,,,18.38,2.772,3.403,
