cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1,14.867,5.133,6.37,4.399,11.052,2.171,5.211,6.893,11.405,4.343,7.536,1.35,1.524,21.678,6.505,1.934,1.776,5.735,3.799,3.104,1.183,1.578,7.228,0.507,11.269,0.911,6.503,1.141,1.579,1.976,6.464,0.423,5.729,3.545,1.257,3.246,2.961,1.859,3.346,1.9,1.294,3.773,0.885,0,0,0,0,0,0,0,0,0
1,3.198,2.143,2.548,2.335,4.716,9.238,4.595,4.503,3.973,1.64,2.28,5.591,4.14,1.307,1.99,2.221,3.054,2.896,1.153,3.308,2.476,4.764,6.838,5.168,2.186,3.013,2.221,1.916,5.701,2.053,1.795,2.838,1.93,6.283,2.121,1.815,4.44,2.174,2.568,4.31,1.589,2.036,1.679,0,0,0,0,0,0,0,0,0
1,7.761,2.746,4.846,1.278,11.852,6.618,2.271,3.028,3.295,4.367,7.585,3.892,4.983,12.069,0.976,3.536,1.315,14.264,2.739,2.295,2.365,1.231,4.291,0.355,9.145,1.404,2.164,2.161,2.363,1.807,2.572,1.923,2.28,7.173,3.773,2.986,2.254,3.453,5.317,0.558,2.187,1.268,1.122,2.351,3.663,5.028,1.43,2.182,0,0,0,0
1,4.71,3.299,3.433,2.775,4.198,1.988,1.486,2.204,3.319,2.859,3.188,5.965,4.721,5.734,2.069,3.602,1.551,16.694,2.285,2.77,3.384,2.167,4.165,5.309,1.034,6.764,1.796,5.04,1.73,4.483,2.467,2.359,19.037,1.109,1.841,2.768,1.456,8.298,1.543,3.278,2.047,1.111,6.185,1.73,2.362,2.942,0.467,0,0,0,0,0
1,3.97,2.501,3.356,2.202,3.054,4.682,4.699,2.645,13.32,23.528,2.501,7.243,1.522,5.645,3.505,1.368,2.271,12.665,4.675,4.494,0.612,2.443,1.39,2.224,2.584,2.121,3.583,1.74,4.681,1.437,1.235,7.219,2.82,3.166,2.848,2.445,5.168,0.348,3.691,1.979,6.584,1.029,2.377,0.396,0,0,0,0,0,0,0,0
1,3.291,3.91,2.3,7.515,3.169,29.399,5.428,1.938,7.858,7.038,1.219,1.758,6.939,2.164,2.48,1.274,5.233,9.188,2.526,0.376,5.113,10.674,1.489,3.426,2.914,0.435,5.827,0.441,17.193,1.785,6.737,0.35,2.301,9.765,3.952,3.842,2.772,2.837,4.348,1.459,1.331,3.387,0.543,0,0,0,0,0,0,0,0,0
1,5.557,10.958,5.474,2.643,1.209,7.799,0.349,6.501,12.57,1.978,3.176,1.521,1.04,8.196,2.479,11.892,1.153,8.516,0.486,2.228,9.63,0.63,3.351,8.213,1.989,12.197,3.39,11.41,1.619,0.341,0.604,2.758,4.99,4.525,2.883,0.568,1.277,5.005,3.757,1.809,4.856,2.329,1.183,0.699,0,0,0,0,0,0,0,0
1,2.987,4.237,1.481,8.098,8.231,0.007,4.327,2.548,2.959,5.986,2.596,1.574,21.158,2.361,16.305,1.749,25.224,6.427,6.811,2.361,1.395,2.599,2.963,4.012,2.677,0.743,8.461,2.616,23.028,1.914,6.355,5.578,0.331,3.511,1.542,3.268,1.127,9.501,0.391,1.742,0.553,2.471,0.568,1.463,0,0,0,0,0,0,0,0
1,5.233,5.076,5.119,5.316,5.658,3.086,1.95,2.086,2.305,2.791,1.568,2.118,41.049,0.634,2.008,2.255,2.238,1.9,7.821,0.586,1.677,8.426,0.798,3.073,6.882,1.605,3.275,2.554,1.268,9.176,3.589,2.266,2.387,1.254,4.848,4.184,2.167,2.819,2.692,3.426,3.891,1.502,2.199,0.411,0,0,0,0,0,0,0,0
1,3.994,3.872,3.034,4.597,9.815,4.941,3.028,10.033,3.693,2.368,4.421,2.574,3.028,1.692,8.638,0.626,2.666,8.348,2.634,1.82,7.557,3.927,1.631,2.829,0.963,10.314,1.179,19.418,1.497,0.634,4.202,3.312,1.62,2.553,3.065,1.303,6.008,4.179,6.445,1.236,1.303,0.888,2.236,0.426,0,0,0,0,0,0,0,0
